改革者の真贋	中田_宏	1,050	9784569805153	4569805159	あなたはどちらを選ぶ！？　無愛想で有能な政治家か　愛想のいい無能な政治家か　「横浜改革」「橋下維新」の真実を明らかにする！　◎第一章　改革にはビジネスセンスが必要だ—赤字を減らすための戦略的決断　◎第二章　日本の将来を見据えた改革を—科学技術立国・日本をつくる創造的決断　◎第三章　効率的な大都市運営システムを—二重行政を解消する正義の決断　◎第四章　日本再興の鍵を握る「羽田空港国際化」—現状悪化を阻止した潮目の決断　◎第五章　改革を断行した横浜市長時代—物事を前に進める迅速な決断　◎第六章　決断できない者に指導者の資格はない—やらねばならないときの限界超えの決断　◎第七章　改革者・橋下徹の真実—大阪を変革する勇気の決断　◎第八章　誇りある日本をつくるために—よりよい国を次代に渡す自立の決断
ローマ法王に米を食べさせた男	高野_誠鮮	1,470	9784062175913	4062175916	「こうすれば人は動く！」　ＣＩＡの戦略に基づいてメディアを駆使し、ローマ法王にアラン・デュカス、木村秋則にエルメスの書道家、そしてＮＡＳＡの宇宙飛行士や総理大臣も味方につけて限界集落から脱却させた市役所職員！　●ローマ法王御用達米に認定　●人工衛星で米を測定　●エルメスの書道家を口説く　●レーガン、サッチャー、ゴルバチョフにも臆せず仕事の協力を要請　●ＮＡＳＡの宇宙飛行士を招く　●本物の宇宙ロケットを格安購入　●田舎の隠れ家カフェが大繁盛！　●アラン・デュカスとのコラボ　●女子大生で町おこし　●自然栽培米で、新時代の農家を養成　●「奇跡のリンゴ」木村秋則と強力タッグ　●日本の農産物でフランスに殴りこみ！　「可能性の無視は最大の悪策だ！」
図解大阪維新とは何か	堺屋_太一	1,000	9784344022140	4344022149	ひと目でわかる「この国のかたち」と「人の気持ち」が大阪から変わるワケ。　◎大阪維新が目指すのは、社会の仕組みを変えることです。　「大阪維新の会」代表・大阪市長　橋下徹　◎私たちは覚悟を決めた。　「大阪維新の会」幹事長・大阪府知事　松井一郎　◎第１章　大阪維新の目的　◎第２章　大阪都構想の本質　◎第３章　改革の鍵は地方自治法　◎第４章　公務員制度改革のねらい　◎第５章　「教育改革」の構造　◎第６章　「電力改革」の核心　◎第７章　大阪維新の成長戦略　◎第８章　大阪１０大名物創り
橋下徹のカネと黒い人脈	一ノ宮_美成	980	9784796695978	4796695974	
詳説自治体契約の実務	江原_勲	3,200	9784324095058	4324095051	
自治体バランス・スコアカード	ＩＮＰＭバランス・スコアカード研究会	3,150	9784492620571	4492620575	
地方公共団体の訴訟事務の手引	行政関係訴訟事務研究会	3,700	9784324087909	4324087903	司法制度改革とあいまって国や地方公共団体を被告とする訴訟が増加、多様化し自治体職員にとって訴訟対応の必要性はますます高まっております。本書は訴訟の手続きから審理の進行まで、訟務に必要な基本的な事項を分かりやすく解説しています。裁判所に提出する訴状や準備書面等の主要な書式例を付録として掲載。訴訟手続の能率アップは間違いありません。
「東北」再生	赤坂_憲雄	1,050	9784781606538	4781606539	東北学」提唱者・復興構想会議委員、近代日本への大胆かつ緻密な論証で知られる社会学者、南三陸町出身の研究者によるエキサイティングな鼎談と論考。戦後社会の社会構造そのものを見据え、日本という国における「生のあり方」を問い直す。岩手出身の漫画家・吉田戦車による装画。
地方自治法　第２次改訂版		1,890	9784886141613	4886141617	
ＰＦＩの法務と実務　第２版	内藤_滋	6,720	9784322121155	4322121152	
